County,City,Model Year,Make,Model,Electric Vehicle Type,CAFV Status,Electric Range,Electric Utility,Vehicle Age
Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Kitsap,Port Orchard,2011,NISSAN,LEAF,BEV,Eligible,73.0,Puget Sound Energy,15
King,Bothell,2011,NISSAN,LEAF,BEV,Eligible,73.0,Puget Sound Energy,15
Yakima,Selah,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Pacificorp,6
King,Seattle,2020,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,City Of Seattle,6
Thurston,Olympia,2023,KIA,NIRO,PHEV,Eligible,33.0,Puget Sound Energy,3
King,Seattle,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,City Of Seattle,10
Thurston,Tumwater,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Kitsap,Bremerton,2018,TESLA,MODEL S,BEV,Eligible,249.0,Puget Sound Energy,8
Snohomish,Lynnwood,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
Snohomish,Bothell,2024,BMW,X5,PHEV,Eligible,39.0,Puget Sound Energy,2
King,Kirkland,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Thurston,Olympia,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Thurston,Olympia,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Yakima,Yakima,2016,TESLA,MODEL X,BEV,Eligible,200.0,Pacificorp,10
Thurston,Lacey,2014,CHEVROLET,SPARK,BEV,Eligible,82.0,Puget Sound Energy,12
Kitsap,Silverdale,2018,TESLA,MODEL X,BEV,Eligible,238.0,Puget Sound Energy,8
Kitsap,Silverdale,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Yakima,Moxee,2014,FORD,FUSION,PHEV,Not Eligible (Low Range),19.0,Pacificorp,12
Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2013,NISSAN,LEAF,BEV,Eligible,75.0,City Of Seattle,13
King,Pacific,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Island,Oak Harbor,2023,CHRYSLER,PACIFICA,PHEV,Eligible,32.0,Puget Sound Energy,3
Thurston,Olympia,2022,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,4
Kitsap,Silverdale,2026,BMW,X5,PHEV,Eligible,38.0,Puget Sound Energy,0
Kitsap,Port Orchard,2025,FORD,ESCAPE,PHEV,Eligible,37.0,Puget Sound Energy,1
King,Seattle,2019,NISSAN,LEAF,BEV,Eligible,150.0,City Of Seattle,7
King,Bellevue,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
Yakima,Yakima,2022,TESLA,MODEL 3,BEV,,,Pacificorp,4
Yakima,Yakima,2016,CADILLAC,ELR,PHEV,Eligible,40.0,Pacificorp,10
Thurston,Olympia,2018,BMW,I3,PHEV,Eligible,97.0,Puget Sound Energy,8
King,Shoreline,2017,NISSAN,LEAF,BEV,Eligible,107.0,City Of Seattle,9
Kitsap,Bainbridge Island,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
King,Kirkland,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
King,Seattle,2017,NISSAN,LEAF,BEV,Eligible,107.0,City Of Seattle,9
Thurston,Olympia,2024,HYUNDAI,TUCSON,PHEV,Eligible,33.0,Puget Sound Energy,2
Kitsap,Bainbridge Island,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
King,Auburn,2017,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,9
Kitsap,Seabeck,2018,PORSCHE,PANAMERA,PHEV,Not Eligible (Low Range),16.0,Puget Sound Energy,8
Thurston,Yelm,2022,RIVIAN,R1T,BEV,,,Puget Sound Energy,4
Thurston,Olympia,2014,CHEVROLET,VOLT,PHEV,Eligible,38.0,Puget Sound Energy,12
Snohomish,Snohomish,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
King,Redmond,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Thurston,Tumwater,2024,KIA,EV6,BEV,,,Puget Sound Energy,2
King,Kent,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Kitsap,Silverdale,2023,BMW,330E,PHEV,Not Eligible (Low Range),22.0,Puget Sound Energy,3
Thurston,Olympia,2022,NISSAN,LEAF,BEV,,,Puget Sound Energy,4
Snohomish,Everett,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
King,Bellevue,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Kitsap,Suquamish,2022,VOLVO,XC60,PHEV,Not Eligible (Low Range),18.0,Puget Sound Energy,4
Thurston,Olympia,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,Puget Sound Energy,10
Kitsap,Poulsbo,2018,CHRYSLER,PACIFICA,PHEV,Eligible,33.0,Puget Sound Energy,8
Snohomish,Mill Creek,2016,FIAT,500,BEV,Eligible,84.0,Puget Sound Energy,10
Thurston,Rainier,2018,BMW,X5,PHEV,Not Eligible (Low Range),13.0,Puget Sound Energy,8
Snohomish,Edmonds,2021,BMW,X3,PHEV,Not Eligible (Low Range),17.0,Puget Sound Energy,5
Kitsap,Bremerton,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
